index,brand_name,brand_type,type
0,奥迪,1,100
1,一汽-大众奥迪,1,110
2,奥迪A3两厢,1,111
3,奥迪A3三厢,1,111
4,奥迪A4L,1,111
5,奥迪A6L,1,111
6,奥迪Q2L,1,111
7,奥迪Q2L e-tron,1,111
8,奥迪Q3,1,111
9,奥迪Q5L,1,111
10,进口奥迪,1,120
11,奥迪A3,1,121
12,奥迪A4 Allroad,1,121
13,奥迪A5,1,121
14,奥迪A6 Avant,1,121
15,奥迪A6 Allroad,1,121
16,奥迪A7,1,121
17,奥迪A8L,1,121
18,奥迪Q7,1,121
19,奥迪Q7 e-tron,1,121
20,奥迪Q8,1,121
21,奥迪TT,1,121
22,奥迪e-tron,1,121
23,Audi Sport,1,130
24,奥迪S3,1,131
25,奥迪S4,1,131
26,奥迪S5,1,131
27,奥迪S6,1,131
28,奥迪S7,1,131
29,奥迪TTS,1,131
30,奥迪RS3,1,131
31,奥迪RS4 Avant,1,131
32,奥迪RS5,1,131
33,奥迪RS6 Avant,1,131
34,奥迪RS7,1,131
35,奥迪TT RS,1,131
36,奥迪R8,1,131
37,阿尔法·罗密欧,2,100
38,阿尔法·罗密欧,2,110
39,Giulia,2,111
40,Stelvio,2,111
41,阿斯顿·马丁,3,100
42,阿斯顿·马丁,3,110
43,Rapide,3,111
44,Rapide E,3,111
45,V8 Vantage,3,111
46,Vanquish,3,111
47,DB11,3,111
48,DBS,3,111
49,ARCFOX,4,100
50,北汽集团,4,110
51,ARCFOX-7,4,111
52,ALPINA,5,100
53,ALPINA,5,110
54,ALPINA B4,5,111
55,爱驰,6,100
56,爱驰,6,110
57,爱驰U5,6,111
58,艾康尼克,7,100
59,艾康尼克,7,110
60,艾康尼克七系,7,111
61,奔驰,8,100
62,进口奔驰,8,110
63,奔驰B级,8,111
64,奔驰CLA级,8,111
65,奔驰C级,8,111
66,奔驰C级旅行版,8,111
67,奔驰E级,8,111
68,奔驰CLS级,8,111
69,奔驰S级,8,111
70,奔驰GLC,8,111
71,奔驰GLE,8,111
72,奔驰GLS,8,111
73,奔驰G级,8,111
74,奔驰R级,8,111
75,奔驰SLC级,8,111
76,奔驰SL级,8,111
77,梅赛德斯-AMG,8,120
78,奔驰A级AMG,8,121
79,奔驰CLA AMG,8,121
80,奔驰C AMG,8,121
81,奔驰E AMG,8,121
82,奔驰S AMG,8,121
83,奔驰GLA AMG,8,121
84,奔驰GLC AMG,8,121
85,奔驰GLE AMG,8,121
86,奔驰GLS AMG,8,121
87,奔驰G AMG,8,121
88,奔驰AMG GT,8,121
89,梅赛德斯-迈巴赫,8,130
90,迈巴赫S级,8,131
91,迈巴赫G级,8,131
92,北京奔驰,8,140
93,奔驰A级,8,141
94,奔驰A级AMG,8,141
95,奔驰C级,8,141
96,奔驰E级,8,141
97,奔驰GLA,8,141
98,奔驰GLC,8,141
99,奔驰EQC,8,141
100,福建奔驰,8,150
101,奔驰V级,8,151
102,威霆,8,151
103,凌特,8,151
104,梅赛德斯-EQ,8,160
105,奔驰EQC,8,161
106,宝马,9,100
107,华晨宝马,9,110
108,宝马1系,9,111
109,宝马2系旅行车,9,111
110,宝马3系,9,111
111,宝马5系,9,111
112,宝马5系Le,9,111
113,宝马X1,9,111
114,宝马X1插电混动,9,111
115,宝马X3,9,111
116,进口宝马,9,120
117,宝马1系两厢,9,121
118,宝马2系,9,121
119,宝马2系Gran Tourer,9,121
120,宝马3系GT,9,121
121,宝马4系,9,121
122,宝马5系,9,121
123,宝马6系,9,121
124,宝马6系GT,9,121
125,宝马7系,9,121
126,宝马X2,9,121
127,宝马X4,9,121
128,宝马X5,9,121
129,宝马X6,9,121
130,宝马X7,9,121
131,宝马Z4,9,121
132,宝马8系,9,121
133,宝马M,9,130
134,宝马M2,9,131
135,宝马M3,9,131
136,宝马M4,9,131
137,宝马M5,9,131
138,宝马M6,9,131
139,宝马X3M,9,131
140,宝马X4M,9,131
141,宝马X5M,9,131
142,宝马X6M,9,131
143,宝马i,10,100
144,宝马i,10,110
145,宝马i3,10,111
146,宝马i8,10,111
147,宝骏,11,100
148,上汽通用五菱,11,110
149,宝骏E100,11,111
150,宝骏E200,11,111
151,宝骏310,11,111
152,宝骏310W,11,111
153,宝骏510,11,111
154,宝骏530,11,111
155,宝骏RS-5,11,111
156,宝骏360,11,111
157,宝骏730,11,111
158,宝骏RC-6,11,111
